APT_ICAO;APT_NAME;LAT;LONG
DNOS;;0,00000;0
DNPO;PORT HARCOURT INTERNATIONAL;5,01500;6,949
DNSO;SADIQ ABUBAKAR III INTERNATIONAL;12,91600;5,207
DNYO;YOLA;9,26000;12,43
DNZA;ZARIA;11,13000;7,686
DRRA;;0,00000;0
DRRC;;0,00000;0
DRRD;;0,00000;0
DRRE;;0,00000;0
DRRG;;0,00000;0
DRRI;;0,00000;0
DRRL;;0,00000;0
DRRM;MARADI;13,50200;7,127
DRRN;DIORI HAMANI;13,48100;2,184
DRRP;;0,00000;0
DRRT;TAHOUA;14,87600;5,265
DRRU;;0,00000;0
DRZA;MANU DAYAK;16,96500;7,997
DRZD;DIRKOU;18,96900;12,869
DRZF;DIFFA;13,37300;12,627
DRZG;;0,00000;0
DRZI;;0,00000;0
DRZL;;0,00000;0
DRZM;;0,00000;0
DRZN;;0,00000;0
DRZR;ZINDER;13,77900;8,984
DRZT;TANOUT;14,99900;8,767
DSGI;;0,00000;0
DTMB;HABIB BOURGUIBA INTERNATIONAL;35,75800;10,755
DTTA;CARTHAGE;36,85100;10,227
DTTB;SIDI AHMED AIR BASE;37,24500;9,791
DTTD;REMADA;32,30600;10,382
DTTF;GAFSA;34,42200;8,822
DTTG;GABES;33,87700;10,103
DTTI;BORDJ EL AMRI;36,72100;9,943
DTTJ;ZARZIS;33,87500;10,775
DTTK;;0,00000;0
DTTL;;0,00000;0
DTTN;;0,00000;0
DTTR;EL BORMA;31,70400;9,254
DTTX;THYNA;34,71800;10,691
DTTZ;NEFTA;33,94000;8,111
DXAK;;0,00000;0
DXBS;;0,00000;0
DXDP;;0,00000;0
DXHO;;0,00000;0
DXKP;;0,00000;0
DXMG;;0,00000;0
DXNG;NIAMTOUGOU;9,76700;1,091
DXSK;;0,00000;0
DXTA;;0,00000;0
DXXX;LOME TOKOIN;6,16600;1,254
EBAM;;0,00000;0
EBAW;DEURNE;51,19000;4,463
EBBE;BEAUVECHAIN;50,75900;4,768
EBBL;KLEINE BROGEL;51,16800;5,471
EBBR;BRUSSELS NATL;50,90200;4,499
EBBT;BRAASCHAAT;51,33300;4,5
EBBX;BERTRIX JEHONVILLE;49,88700;5,229
EBCI;BRUSSELS SOUTH;50,45900;4,454
